Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Crema  de Ma°z *,300 Gramos,,0.60,0.63,0.63,,0.60,0.60,0.60,0.69,0.59,0.59,0.60,0.60,0.60,0.57,0.57,0.60,0.60,0.60,0.65,0.60,0.70,0.65,0.60,0.60,0.60,0.70,,0.60,0.60,0.60,0.60,0.63,,0.57,0.59,0.59,,0.60,0.60,0.79,0.65,0.60,0.59,0.59,0.65,0.60,0.65,0.60,0.58,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,,,,,0.61,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.13,2.95,2.43,2.43,2.10,,2.29,2.29,1.98,1.97,1.97,2.29,1.99,1.79,1.98,1.98,2.10,2.29,2.29,2.10,2.29,2.31,2.10,2.29,2.29,2.38,3.15,2.10,2.10,1.79,1.79,1.79,1.98,2.27,1.87,1.95,2.98,2.10,1.79,3.15,2.95,3.09,2.25,3.09,,2.95,,,,3.10,2.63,3.10,2.75,,,,,2.50,,3.00,,,,,,,,,,,,,,,,,,,2.45,,,,,,3.95,3.95,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.85,0.58,0.82,0.82,0.75,0.63,0.81,0.63,0.61,0.75,0.58,0.63,0.63,0.63,0.60,0.60,0.80,0.63,0.63,0.80,0.63,0.81,0.80,0.63,0.63,0.56,0.75,0.65,0.65,0.63,0.63,0.63,0.58,0.73,0.58,0.75,0.75,0.75,0.63,0.56,0.58,0.63,,0.75,0.58,0.80,0.63,0.63,0.63,,0.60,0.61,0.85,0.70,0.95,1.00,0.85,0.59,0.90,0.85,0.90,0.80,0.85,0.85,0.85,0.85,0.85,0.85,0.75,0.85,0.85,,0.85,0.85,0.85,0.85,0.85,0.85,0.80,,0.75,0.59,0.75,0.90,,0.85,0.85,0.85,,,
Pan de Michita *,1 Kilogramos,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,2.75,2.75,,,,3.00,,3.00,,,,,2.25,2.75,,2.25,,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,,,
Pan Molde *,500 Gramos,,0.92,0.92,0.92,,,,0.92,0.90,,0.92,0.92,,0.92,,0.87,0.92,0.92,0.92,0.92,0.92,,,,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.90,0.86,0.90,,,0.92,0.92,0.91,0.92,0.92,,,0.92,0.92,,,,0.90,0.86,0.90,,,,,,,,,,,,,,,,,,,,,,,0.92,,0.92,,,,0.92,0.92,,,,,0.92,,0.92,0.92,
Tortilla de Ma°z *,10 Unidades,,1.18,1.45,1.45,1.10,1.15,1.15,1.15,0.98,0.99,1.10,1.05,1.05,1.05,0.89,1.13,1.18,1.15,1.15,1.18,1.15,1.10,0.98,1.15,1.15,0.89,0.98,1.13,1.13,1.05,1.15,1.05,1.10,1.11,0.89,0.99,0.98,1.19,1.15,0.79,1.28,1.05,,0.98,0.85,1.16,1.05,1.15,1.05,0.95,,0.95,1.15,,1.25,,1.00,1.00,1.00,1.00,1.10,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,,1.00,1.00,,,1.00,1.00,1.10,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.10,0.99,0.99,0.95
Aj° Dulce y/o picoloro *,1 Kilogramos,,2.39,,,2.99,2.65,2.35,2.35,2.68,2.85,2.45,2.35,2.35,2.35,2.68,2.68,2.39,2.35,2.38,2.39,2.35,,2.10,2.35,2.59,,2.45,2.39,2.39,2.59,2.35,2.58,2.68,2.14,2.43,1.99,2.45,2.39,2.35,2.76,2.09,2.35,3.05,,3.45,2.39,2.35,2.35,2.59,2.68,2.15,2.03,3.31,,3.86,,2.76,,,,,2.76,,2.76,,,,,2.76,,2.20,2.20,,,,2.76,,2.76,,,,2.20,,,3.86,3.31,2.20,3.31,2.62,,
Ajo *,1 Kilogramos,2.49,,3.30,3.30,,2.49,,2.80,2.37,2.45,2.45,1.75,1.75,1.75,2.43,2.43,4.55,,,4.55,,2.35,,,,,2.45,4.55,4.55,2.75,2.75,2.75,2.73,2.13,,2.45,2.45,4.55,,,4.56,2.76,2.18,2.45,2.45,4.55,,2.49,2.75,2.08,2.70,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,,,,,,
Cebolla Amarilla *,1 Kilogramos,,1.75,1.76,1.76,,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,,1.74,,1.76,,1.75,1.76,,1.75,1.76,1.76,,1.76,1.75,1.75,1.76,1.76,1.76,,1.74,1.74,1.76,1.76,1.75,1.75,1.76,1.75,1.76,1.69,,,1.75,1.76,,1.76,1.67,1.74,,1.76,1.76,1.76,,,,,,1.76,,,1.76,,1.76,,1.76,1.76,,,1.76,,,1.76,,,1.76,,,,1.76,,,,1.76,,1.76,1.74,,1.76
Lechuga *,1 Kilogramos,3.96,3.11,4.45,4.45,,,,3.64,3.73,4.25,4.25,2.95,2.95,3.64,4.23,3.73,3.11,2.95,,3.70,,,,4.85,2.95,2.88,4.25,,3.11,,3.64,,,2.79,3.73,2.79,3.09,3.11,3.59,2.89,3.11,3.64,2.09,4.25,4.25,3.11,3.64,3.64,3.64,3.85,3.87,3.62,3.31,2.76,,,3.31,3.31,,3.31,3.30,2.76,,3.31,,2.98,,3.31,3.31,,2.65,,,3.31,2.20,3.31,3.31,2.76,3.31,,3.31,,,,,3.75,2.20,,3.28,,2.75
•ame Diamante *,1 Kilogramos,,0.88,0.88,0.88,,0.85,,0.85,,0.88,0.88,0.85,0.85,0.85,0.69,0.88,0.88,,,0.88,0.85,,0.88,0.85,,0.87,0.88,0.88,0.88,0.85,0.77,0.85,0.83,0.73,0.85,0.88,0.88,0.88,0.85,0.86,0.88,0.84,0.88,0.75,0.88,0.88,0.85,0.85,0.85,0.83,0.82,0.86,,,,,,,,,,,,0.88,,,,0.88,0.88,,,,,,0.77,,,,0.88,,,0.77,,,,0.88,0.88,0.88,0.79,0.84,0.88
Papa Nacional *,1 Kilogramos,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.52,1.54,1.54,1.54,1.54,1.54,1.27,1.52,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.51,1.54,1.54,1.54,1.54,1.54,1.54,1.52,1.24,1.50,1.54,1.54,1.54,1.54,1.50,1.54,1.54,1.50,,1.21,1.54,1.54,1.54,1.54,1.48,1.50,1.48,1.54,1.54,1.54,1.32,1.54,1.54,,1.54,1.54,1.54,,1.54,,1.54,,1.54,1.54,,1.32,1.54,1.54,1.54,1.10,1.54,1.43,1.54,1.54,,1.32,1.54,,,1.54,1.54,1.32,1.54,1.36,1.54,1.30
Pl†tano Verde *,1 Unidades,,0.25,,0.30,,0.27,,,0.21,,,,,,,,0.25,,0.27,,,0.29,0.25,,,,,,,,,,,,,,,,,0.25,0.25,,0.22,0.20,,0.25,0.27,,,0.22,0.22,0.25,0.45,0.35,0.45,0.50,0.40,,0.35,,0.35,0.35,0.35,0.35,,0.45,,0.40,0.40,,0.32,0.35,,0.40,0.40,0.40,0.35,0.35,0.35,,0.40,0.25,,0.25,0.40,0.35,0.35,0.40,,0.26,
Repollo Verde *,1 Kilogramos,1.76,1.78,,3.08,1.78,2.25,2.57,2.57,1.70,2.39,2.39,2.29,2.29,2.29,3.26,3.76,,2.29,2.29,1.78,2.29,,1.78,2.29,2.29,2.25,,1.78,1.78,2.29,2.29,2.29,2.33,1.87,2.23,2.35,,1.78,2.29,1.87,1.63,,2.86,2.29,,1.78,2.25,2.29,2.25,1.70,1.70,1.50,2.76,2.20,,2.76,2.20,2.20,,2.20,2.20,2.76,2.20,2.20,,2.09,,2.20,2.76,,2.20,1.65,,2.65,1.65,3.31,2.20,1.65,2.76,,2.76,1.98,,,2.76,2.20,2.20,2.76,1.96,1.96,1.65
Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,2.60,,2.71,2.71,2.71,2.71,2.71,2.71,2.69,2.71,2.71,2.71,2.71,2.71,2.69,2.69,2.71,2.71,,2.71,,,2.71,,2.70,2.71,2.71,2.71,2.71,2.59,2.71,2.71,2.54,2.63,2.57,2.71,2.71,2.71,2.71,2.18,2.71,2.59,2.71,2.64,2.71,2.71,2.71,2.71,,2.69,2.68,2.45,2.71,3.31,2.71,2.31,2.65,,,2.71,2.71,2.71,,2.71,,2.71,,2.71,2.71,,2.20,,2.71,2.20,2.20,2.71,2.65,2.71,,,3.31,2.20,,,2.71,3.31,,,2.04,2.71,
Yuca *,1 Kilogramos,0.84,0.66,,,,,,,0.82,,,,,,,,,,,0.66,,0.84,,,,0.66,,0.66,0.66,,,,0.64,0.70,0.65,,,,,0.73,0.66,,0.77,,,0.66,,,,0.65,0.64,,0.77,,,,0.77,,,,0.86,,,,,,,,0.62,,,,,,,,,0.77,,,,,,,,,0.84,0.62,0.64,0.64,0.83
