Fecha:  Del 16 al 26 de noviembre de 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Producto;Medida;CASA DE LA CARNE CANGREJO;REY DE VIA ESPA•A;RIBA SMITH BELLA VISTA;RIBA SMITH TRANSISTMICA;REY EL DORADO;SUPER 99 CAMINO REAL;SUPER 99 EL DORADO;SUPER 99 TUMBA MUERTO;XTRA TUMBA MUERTO;EL MACHETAZO COSTA SUR;EL MACHETAZO METRO MALL;SUPER 99 LOS PUEBLOS;SUPER 99 PEDREGAL;SUPER 99 PLAZA TOCUMEN;XTRA LAS ACACIAS;XTRA LOS PUEBLOS;REY CHANIS;SUPER 99 CHANIS;SUPER 99 PORTOBELO;REY 12 DE OCTUBRE;SUPER 99 VISTA HERMOSA;CASA DE LA CARNE VIA PORRAS;REY CALLE 50;SUPER 99 SAN FRANCISCO;SUPER 99 V÷A PORRAS;EL FUERTE SAN MIGUELITO;EL MACHETAZO SAN MIGUELITO;REY BRISAS DEL GOLF;REY VILLA LUCRE;SUPER 99 BRISAS DEL GOLF;SUPER 99 LOS ANDES;SUPER 99 VILLA LUCRE;XTRA MARKET  VILLA LUCRE;XTRA OJO DE AGUA;XTRA PAN DE AZÈCAR;EL MACHETAZO CALIDONIA;EL MACHETAZO SANTA ANA;REY BOMBERO SANTA ANA;SUPER 99 LA CUCHILLA CALIDONIA;EL FUERTE VILLA ZAITA;REY MILLA 8;SUPER 99 LA CABIMA;EL MACHETAZO NVO. TOCUMEN;EL MACHETAZO PUNTA DEL ESTE;REY LAS AMERICAS;SUPER 99 24 DE DICIEMBRE;SUPER 99 MA•ANITAS;SUPER 99 MEGA MALL;XTRA  24 DICIEMBRE;XTRA CHEPO;XTRA PACORA;MINISUPER CD;ABA EL CANGREJO/BELLA VISTA;FRUTER÷A  MIMI;MINI MARKET ONLY;ABT. JUAN CARLOS - BETHANIA;MINISUPER - JANET - BETHANIA;ABT. ELENA - BETHANIA;MINISUPER - ESTELA - BETHANIA;MINISUPER - EL PROGRESO - PARQ LEFEVRE;MINISUPER - EL CHEVERE - PAR. LEFEVRE;ABT. PANAMµ VIEJO - PAR. LEFEVRE;MINI SUPER MAGIC PAN;ABARROTERIA LOS AMIGOS;MINISUPER PUEBLO NUEVO;MINISUPER ROSITA;MINISUPER CHONSITO - PUEBLO NUEVO;MINISUPER FUENTE DE ORO - SAN FCO;MINISUPER ECLIPSE-SAN FCO.;M/S DALLYS - BOCA LA CAJA;MINISUPER PAN;ABT. LE‡N-SAN MIGUELITO;MINISUPER FLORECIENTE;ABT. DENIA-SAN MIGUELITO;MINISUPER - JIMMY LIAO;MINISUPER - EXCELENTE -JUAN D÷AZ;MINISUPER - JUAN D÷AZ;MINISUPER JULY ZHANG- JUAN D÷AZ;M/S SUSANA LUO JUAN DIAZ;MINISUPER PLAZA AMADOR;ABT EDITH- SANTA ANA;MINISUPER EXPRESO-CALIDONIA;MINISUPER ROY-CALIDONIA;MINISUPER EL MILENIO;M/S VILLA ZAITA;M/S OCêANO;ABARROTER÷A BERAKA;ABT - LA PAGODA;ABT. LA PAGODA NO. 2;M/S MULTI CARNES
Pan de Michita ;1 Kilogramos;;;;;;2.49;;;;;;;;;;;;;;;2.45;;;;;;;;;;;;3.00;2.25;3.00;;;;;;;;;3.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pan Molde  *;500 Gramos;;;0.92;0.92;0.92;0.92;0.92;0.92;0.90;;;0.92;;0.92;0.87;0.87;;;0.92;0.92;;;;;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.92;0.90;0.87;0.90;0.92;0.92;0.92;0.92;0.89;;0.92;;0.92;0.92;;0.92;0.92;0.90;0.86;0.90;;;0.92;;;;;;0.92;;;;;;;;;;;;;;0.92;;0.92;0.92;;;0.92;0.92;;;;;0.92;;0.92;0.92;0.92
Tortilla de Ma°z ;10 Unidades;1.10;1.19;1.45;1.45;;1.05;1.15;1.15;0.92;1.15;0.99;1.15;1.15;1.05;0.92;0.92;0.99;1.15;1.05;1.10;1.15;;1.22;1.05;1.05;0.87;0.98;0.99;1.10;1.05;1.05;1.05;;1.11;0.92;1.15;1.15;1.19;1.15;0.79;0.95;1.05;1.15;1.25;1.19;1.05;1.05;1.05;0.95;;0.92;1.15;;1.25;;1.00;1.00;1.25;1.00;1.10;1.00;1.00;1.00;1.15;1.00;1.00;1.00;1.00;;1.00;1.00;;1.00;1.00;1.00;1.00;1.00;1.00;;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.10;0.95;0.99;---
Aj° Dulce y/o picoloro ;1 Kilogramos;4.40;1.66;;5.35;2.99;2.55;2.19;2.59;1.64;2.48;2.65;2.59;2.19;2.19;2.57;1.83;2.00;2.59;2.19;2.09;2.19;5.47;2.10;;;1.97;2.65;;1.66;2.59;2.69;2.59;1.97;2.73;2.00;2.65;2.65;1.66;2.19;2.65;1.65;2.64;2.15;2.65;1.66;2.59;;;;;2.03;;;;;2.76;;;3.31;;2.76;;2.20;;3.31;;3.31;2.76;;;;;3.31;1.65;2.76;;2.20;3.31;;;;;;3.86;3.31;2.20;3.31;1.74;1.74;2.20
Ajo ;1 Kilogramos;2.49;3.64;3.30;3.30;;2.75;2.75;2.75;2.73;2.99;2.45;2.75;2.75;2.75;2.43;2.43;4.55;2.75;2.75;3.65;2.75;2.29;;2.75;2.75;;2.45;4.55;3.64;2.75;2.75;2.75;2.73;2.13;1.83;2.45;;3.64;2.75;3.20;3.64;2.76;2.45;2.45;3.64;2.99;2.75;2.75;2.73;2.70;2.73;;;;;;;;;;;;;;;;;;;;2.20;;;;;;2.20;;;;;;;;;;;2.18;2.18;
Cebolla Amarilla  *;1 Kilogramos;1.76;;1.76;1.76;1.75;1.76;1.76;1.76;1.73;;1.76;;1.76;;;;1.75;;1.76;1.75;;1.76;1.75;;;1.76;1.76;;;;1.76;;1.73;1.74;1.74;;1.76;;1.76;1.76;;;;;;;;;;1.74;1.74;1.76;1.76;;;;;;;1.76;;;1.76;;1.76;;1.76;1.76;;;;;;;1.76;1.76;;;;;;;;;1.76;;;;;1.76
Lechuga ;1 Kilogramos;2.20;2.42;4.45;5.25;2.42;4.09;3.49;3.49;2.40;2.50;3.65;3.49;3.49;;;;2.99;;3.49;2.99;4.09;2.20;;;;;3.65;2.99;;;;;2.22;;3.18;3.65;2.35;2.42;2.40;3.65;2.42;2.25;;4.25;2.42;3.49;;3.49;2.98;;2.38;4.41;3.31;;3.31;3.31;3.31;;2.76;2.20;3.86;2.76;;;3.31;3.31;3.31;2.76;;;;;;2.20;;;;3.31;;3.31;2.76;;;5.51;4.41;2.20;3.86;3.85;3.85;2.75
•ame Diamante  *;1 Kilogramos;;;0.88;0.88;0.88;0.85;;0.85;0.83;0.88;0.88;;0.85;0.85;0.69;0.80;0.88;;;0.88;0.85;;0.80;0.85;0.85;0.87;0.88;0.88;0.88;0.85;;;0.86;0.83;0.85;0.88;0.88;0.88;0.85;0.86;0.88;0.77;0.88;0.88;0.88;;0.85;0.85;0.83;0.81;0.83;;;;;;;;0.88;;---;---;0.88;;;0.88;;0.88;;0.88;;;0.88;;0.88;0.85;;0.88;;;;;;;;0.88;0.88;;0.77;0.88
Papa Nacional  *;1 Kilogramos;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.52;1.54;1.54;1.54;1.54;1.54;0.97;1.22;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.54;1.50;1.54;1.54;1.54;1.54;1.43;1.54;1.52;1.48;1.48;1.32;1.32;1.54;1.43;1.54;1.54;1.43;1.54;1.54;1.54;1.43;1.54;1.54;1.48;1.07;1.49;1.54;1.54;1.76;1.32;1.54;1.54;1.54;1.54;;1.54;1.32;1.54;;1.54;1.32;1.54;1.54;;1.32;1.32;;1.54;1.10;1.54;1.43;1.32;1.54;;1.54;;;1.32;1.54;1.54;1.32;1.54;1.30;1.30;1.54
Pl†tano Verde ;1 Unidades;0.38;0.25;0.30;0.30;;;;;;0.22;;;0.27;0.27;0.22;0.22;0.25;;0.22;;;0.32;0.25;0.27;0.27;;;;;;;;;;;;0.22;0.25;0.22;0.22;0.25;0.22;0.22;0.22;;;0.22;0.27;0.22;0.22;0.22;0.50;0.35;0.45;0.50;0.40;0.35;0.40;0.50;0.25;0.40;0.25;0.25;;0.45;0.40;0.45;0.40;;0.35;0.35;;0.35;0.40;0.40;0.35;0.35;0.40;;0.40;0.20;;0.35;0.40;0.35;0.35;0.40;0.30;0.25;0.20
